N,Version,Threshold,Blocks,Threads,Average
2048,1,1024,4,2,0.104768
2048,1,1024,4,4,0.0768064
2048,1,1024,4,8,0.066176
2048,1,1024,4,16,0.057088
2048,1,1024,4,32,0.0545088
2048,1,1024,4,64,0.049472
2048,1,1024,4,128,0.0446784
2048,1,1024,4,256,0.0436224
2048,1,1024,4,512,0.0475328
2048,1,1024,4,1024,0.0537088
2048,1,1024,8,1,0.0944832
2048,1,1024,8,2,0.0751552
2048,1,1024,8,4,0.0588928
2048,1,1024,8,8,0.0532928
2048,1,1024,8,16,0.0525504
2048,1,1024,8,32,0.0477696
2048,1,1024,8,64,0.0475328
2048,1,1024,8,128,0.0468032
2048,1,1024,8,256,0.0513088
2048,1,1024,8,512,0.0554112
2048,1,1024,8,1024,0.0708544
2048,1,1024,16,1,0.0727744
2048,1,1024,16,2,0.0616896
2048,1,1024,16,4,0.0533248
2048,1,1024,16,8,0.0516672
2048,1,1024,16,16,0.0485248
2048,1,1024,16,32,0.0435712
2048,1,1024,16,64,0.0466944
2048,1,1024,16,128,0.0518912
2048,1,1024,16,256,0.0607488
2048,1,1024,16,512,0.0681344
2048,1,1024,16,1024,0.0888384
2048,1,1024,32,1,0.0648704
2048,1,1024,32,2,0.0549504
2048,1,1024,32,4,0.0507904
2048,1,1024,32,8,0.0451456
2048,1,1024,32,16,0.045536
2048,1,1024,32,32,0.0483264
2048,1,1024,32,64,0.0472064
2048,1,1024,32,128,0.0528064
2048,1,1024,32,256,0.06496
2048,1,1024,32,512,0.0822592
2048,1,1024,32,1024,0.1347072
2048,1,1024,64,1,0.0528704
2048,1,1024,64,2,0.0575552
2048,1,1024,64,4,0.0425728
2048,1,1024,64,8,0.0418304
2048,1,1024,64,16,0.051392
2048,1,1024,64,32,0.0463808
2048,1,1024,64,64,0.0542912
2048,1,1024,64,128,0.0648256
2048,1,1024,64,256,0.083104
2048,1,1024,64,512,0.192352
2048,1,1024,64,1024,0.2224832
2048,1,1024,128,1,0.0609792
2048,1,1024,128,2,0.3816832
2048,1,1024,128,4,0.0466368
2048,1,1024,128,8,0.0512896
2048,1,1024,128,16,0.0517568
2048,1,1024,128,32,0.0548096
2048,1,1024,128,64,0.0682176
2048,1,1024,128,128,0.085728
2048,1,1024,128,256,0.1276352
2048,1,1024,128,512,0.205664
2048,1,1024,128,1024,0.3820096
2048,1,1024,256,1,0.0561664
2048,1,1024,256,2,0.0520384
2048,1,1024,256,4,0.0461312
2048,1,1024,256,8,0.052896
2048,1,1024,256,16,0.0551232
2048,1,1024,256,32,0.0629824
2048,1,1024,256,64,0.0865024
2048,1,1024,256,128,0.129344
2048,1,1024,256,256,0.209632
2048,1,1024,256,512,0.3680512
2048,1,1024,256,1024,0.6278336
